dataset_id,title,url,final_url,http_status,reachable,error,elapsed_ms
inq-0113,Planning application condition,https://www.planning.data.gov.uk/dataset/planning-application-condition,https://www.planning.data.gov.uk/dataset/planning-application-condition,200,True,,213
inq-0114,Planning condition,https://www.planning.data.gov.uk/dataset/planning-condition,https://www.planning.data.gov.uk/dataset/planning-condition,200,True,,137
inq-0115,Developer agreement contribution,https://www.planning.data.gov.uk/dataset/developer-agreement-contribution,https://www.planning.data.gov.uk/dataset/developer-agreement-contribution,200,True,,163
inq-0116,Developer agreement transaction,https://www.planning.data.gov.uk/dataset/developer-agreement-transaction,https://www.planning.data.gov.uk/dataset/developer-agreement-transaction,200,True,,150
inq-0117,plan timetable,https://www.planning.data.gov.uk/dataset/plan-timetable,https://www.planning.data.gov.uk/dataset/plan-timetable,200,True,,232
inq-0118,HadUK-Grid Maximum air temperature – monthly – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0119,HadUK-Grid Maximum air temperature – monthly – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0120,HadUK-Grid Maximum air temperature – monthly – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0121,HadUK-Grid Maximum air temperature – monthly – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0122,HadUK-Grid Maximum air temperature – monthly – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0123,HadUK-Grid Minimum air temperature – monthly – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0124,HadUK-Grid Minimum air temperature – monthly – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0125,HadUK-Grid Minimum air temperature – monthly – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0126,HadUK-Grid Minimum air temperature – monthly – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0127,HadUK-Grid Minimum air temperature – monthly – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0128,HadUK-Grid Mean air temperature – monthly – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0129,HadUK-Grid Mean air temperature – monthly – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0130,HadUK-Grid Mean air temperature – monthly – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0131,HadUK-Grid Mean air temperature – monthly – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0132,HadUK-Grid Mean air temperature – monthly – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0133,HadUK-Grid Precipitation – monthly – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0134,HadUK-Grid Precipitation – monthly – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0135,HadUK-Grid Precipitation – monthly – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0136,HadUK-Grid Precipitation – monthly – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0137,HadUK-Grid Precipitation – monthly – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0138,HadUK-Grid Sunshine duration – monthly – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0139,HadUK-Grid Sunshine duration – monthly – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0140,HadUK-Grid Sunshine duration – monthly – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0141,HadUK-Grid Sunshine duration – monthly – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0142,HadUK-Grid Sunshine duration – monthly – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0143,HadUK-Grid Mean wind speed at 10 m – monthly – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0144,HadUK-Grid Mean wind speed at 10 m – monthly – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0145,HadUK-Grid Mean wind speed at 10 m – monthly – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0146,HadUK-Grid Mean wind speed at 10 m – monthly – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0147,HadUK-Grid Mean wind speed at 10 m – monthly – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0148,HadUK-Grid Mean sea level pressure – monthly – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0149,HadUK-Grid Mean sea level pressure – monthly – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0150,HadUK-Grid Mean sea level pressure – monthly – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0151,HadUK-Grid Mean sea level pressure – monthly – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0152,HadUK-Grid Mean sea level pressure – monthly – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
